mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout,param_epochs,param_hidden_dim,param_input_dim,param_learning_rate,param_output_dim,param_weight_decay,params,Picohttpparser_test_score,CSimpleJSONParser_test_score,Benoitc_HTTP_test_score,CParserXML_test_score,cJSON_test_score,YACC_Calculator_test_score,ELF_Parser_test_score,Network_Packet_Analyzer_test_score,Packcc_test_score,PCAP_Parser_test_score,mean_test_score,std_test_score,rank_test_score
23.433667492866515,3.396500199257868,0.1791076183319092,0.1670476540077594,32,0,20,16,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.25748502994011974,0.03804347826086957,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.033474419447549905,0.07620915257232908,74
25.408180522918702,3.480005719119366,0.18812763690948486,0.16289849683838917,32,0,20,16,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
25.560768389701842,3.235255085358406,0.20942728519439696,0.16736305416967284,32,0,20,32,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.0,0.0,0.0,0.8884615384615384,0.5862068965517241,0.8427947598253275,0.0,0.005376344086021506,0.0,0.23228395389246118,0.3610783835673163,11
27.57249641418457,3.36623018663524,0.23809874057769775,0.2941882028717779,32,0,20,32,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
25.422262525558473,2.753875989394119,0.25918490886688234,0.3166078398970703,32,0,20,32,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.2754491017964072,0.5815217391304348,0.21052631578947367,0.08823529411764706,0.28076923076923077,0.6551724137931034,0.8209606986899564,0.0,0.12007168458781362,0.0,0.3032706478674067,0.2725603804528398,3
31.51895065307617,5.782996499345722,0.24197542667388916,0.2529050058983941,32,0,20,32,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 32, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
31.212670230865477,3.6666556727776456,0.2015207052230835,0.20262219036711043,32,0,20,64,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.3413173652694611,0.0,0.0,0.0,0.0,0.7931034482758621,0.0,0.0,0.4283154121863799,0.0,0.1562736225731703,0.26167733273948696,26
31.977049899101257,5.275713845080048,0.21157686710357665,0.2176320899313355,32,0,20,64,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
31.76457612514496,3.4982586911808022,0.20145764350891113,0.20372597513828397,32,0,20,64,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.27245508982035926,0.03260869565217391,0.0,0.0,0.5076923076923077,0.0,0.7161572052401747,0.0,0.07168458781362007,0.0,0.16005978862186354,0.24390060387415335,24
41.841921043396,7.332267583230228,0.27973577976226804,0.30758243523856504,32,0,20,64,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 20, 'hidden_dim': 64, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
48.78632500171661,5.840851073169824,0.21259491443634032,0.19524512745425796,32,0,40,16,1,0.1,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.0}",0.0,0.04891304347826087,0.0,0.0,0.0,0.0,0.5458515283842795,0.0,0.4050179211469534,0.0,0.09997824930094938,0.19090033786746738,47
50.81213874816895,7.405660361420078,0.22199718952178954,0.2065924905320914,32,0,40,16,1,0.1,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.1, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
50.224619555473325,7.002023191025773,0.19196829795837403,0.18077004681296338,32,0,40,16,1,0.01,2,0.0,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.0}",0.0748502994011976,0.059782608695652176,0.5789473684210527,0.06862745098039216,0.0,0.6896551724137931,0.42358078602620086,0.0,0.34767025089605735,0.0,0.22431139368343458,0.24936516179618742,13
62.945040225982666,7.286955203618962,0.22625486850738524,0.22477596343831588,32,0,40,16,1,0.01,2,0.01,"{'batch_size': 32, 'dropout': 0, 'epochs': 40, 'hidden_dim': 16, 'input_dim': 1, 'learning_rate': 0.01, 'output_dim': 2, 'weight_decay': 0.01}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
